Rank,Title,URL,Performance,Accessibility,Best Practices,SEO,Domain,AccessibilityResult,Accessibility Issues,Total_Issues,High_Severity_Issues,P0_Issues
1,Swiss Medical Network | Your Swiss Private Hospital Group,https://www.swissmedical.net/en,72.0,89.0,79.0,85.0,www.swissmedical.net,Fail,,0,0,0
2,"Swiss Health Clinic, Top-Notch Healthcare Service, in Switzerland",https://swiss-health-clinic.ch/,56.0,84.0,75.0,92.0,swiss-health-clinic.ch,Fail,,0,0,0
3,Hospitals | Swiss Medical Network,https://www.swissmedical.net/en/hospitals,71.0,87.0,79.0,92.0,www.swissmedical.net,Fail,,0,0,0
4,Health care system,https://www.eda.admin.ch/aboutswitzerland/en/home/wirtschaft/soziale-aspekte/gesundheitssystem.html,45.0,96.0,96.0,83.0,www.eda.admin.ch,Pass,,0,0,0
5,Financial situation and current challenges of Swiss hospitals and ...,https://kpmg.com/ch/en/industries/healthcare/market-outlook-hospital-clinic.html,56.0,93.0,96.0,92.0,kpmg.com,Pass,,0,0,0
6,2025 health care providers approved by the chis - cern,https://cds.cern.ch/record/1999135/files/CHIS%20-%20Approved%20Health%20Care%20providers.pdf,,,,,cds.cern.ch,Fail,,0,0,0
7,Clinique La Prairie: Award-Winning Longevity Destination,https://www.cliniquelaprairie.com/,64.0,84.0,96.0,83.0,www.cliniquelaprairie.com,Fail,,0,0,0
8,Swiss TPH | Committed to making the world a healthier place,https://www.swisstph.ch/en/,57.0,87.0,89.0,92.0,www.swisstph.ch,Fail,,0,0,0
9,Hamilton Medical - Intelligent Ventilation since 1983,https://www.hamilton-medical.com/en_US/,78.0,95.0,75.0,92.0,www.hamilton-medical.com,Pass,,0,0,0
10,Balgrist University Hospital,https://www.balgrist.ch/en/,63.0,93.0,79.0,92.0,www.balgrist.ch,Pass,,0,0,0
11,Swiss Medical Weekly,https://smw.ch/,72.0,92.0,100.0,83.0,smw.ch,Pass,,0,0,0
12,Balgrist University Hospital: International patients,https://www.balgrist.ch/en/patients/for-patients/international-patients/,64.0,92.0,79.0,100.0,www.balgrist.ch,Pass,,0,0,0
13,SARS-CoV-2 immunity and reasons for non-vaccination among ...,https://smw.ch/index.php/smw/article/download/3734/5906/21279,,,,,smw.ch,Fail,,0,0,0
14,Schulthess Klinik | Orthopaedic Treatment Zurich,https://www.schulthess-klinik.ch/en,72.0,91.0,96.0,92.0,www.schulthess-klinik.ch,Pass,,0,0,0
15,The healthcare system in Switzerland | Expatica,https://www.expatica.com/ch/healthcare/healthcare-basics/healthcare-in-switzerland-103130/,73.0,89.0,75.0,85.0,www.expatica.com,Fail,,0,0,0
16,Medical Assistance - U.S. Embassy in Switzerland and Liechtenstein,https://ch.usembassy.gov/u-s-citizen-services/local-resources-of-u-s-citizens/doctors/,66.0,87.0,100.0,77.0,ch.usembassy.gov,Fail,,0,0,0
17,Why the elite come to Switzerland for healthcare - SWI swissinfo.ch,https://www.swissinfo.ch/eng/private-clinics_why-the-elite-come-to-switzerland-for-healthcare/42566376,37.0,100.0,5699999999999990.0,92.0,www.swissinfo.ch,Pass,,0,0,0
18,Federal Office of Public Health FOPH,https://www.bag.admin.ch/bag/en/home.html,60.0,86.0,100.0,82.0,www.bag.admin.ch,Fail,,0,0,0
19,Swiss Riviera Medical Center |,https://www.srmc.ch/en/,76.0,81.0,100.0,92.0,www.srmc.ch,Fail,,0,0,0
20,Medical Center Bad Ragaz,https://www.medizin-badragaz.ch/en/,57.0,87.0,96.0,92.0,www.medizin-badragaz.ch,Fail,,0,0,0
22,USZ â€“ UniversitÃ¤tsspital ZÃ¼rich - University Hospital Zurich,https://www.usz.ch/en/,57.0,89.0,100.0,92.0,www.usz.ch,Fail,,0,0,0
23,"165 REHAB, Clinic for Neurorehabilitation and Paraplegiology ...",https://www.herzogdemeuron.com/projects/165-rehab-clinic-for-neurorehabilitation-and-paraplegiology/,89.0,85.0,100.0,100.0,www.herzogdemeuron.com,Fail,,0,0,0
24,Hospitals & Clinics | new-win SW Solutions AG,https://newwin.ch/en/target-audience/hospitals-clinics/,72.0,86.0,79.0,77.0,newwin.ch,Fail,,0,0,0
25,International Ethical Guidelines for Health-related Research ...,https://cioms.ch/wp-content/uploads/2017/01/WEB-CIOMS-EthicalGuidelines.pdf,,,,,cioms.ch,Fail,,0,0,0
26,Wyss Center: Home,https://wysscenter.ch/,62.0,88.0,100.0,77.0,wysscenter.ch,Fail,,0,0,0
27,Open letter calling for the safeguarding of healthcare facilities and ...,https://www.whpa.org/open-letter-safeguarding-healthcare-in-conflict,58.0,97.0,96.0,100.0,www.whpa.org,Pass,,0,0,0
28,Swissmedic,https://www.swissmedic.ch/swissmedic/en/home.html,60.0,75.0,75.0,73.0,www.swissmedic.ch,Fail,,0,0,0
29,Swiss MAM | Department of Biomedical Engineering | University of ...,https://dbe.unibas.ch/en/research/regenerative-surgery/swiss-mam-medical-additive-manufacturing-research-group/,75.0,96.0,75.0,100.0,dbe.unibas.ch,Pass,,0,0,0
30,Healthcare in Switzerland: important information | coverio.ch,https://www.coverio.ch/ch/coverio/en/home/good-to-know/good-to-know/health-system-switzerland.html,70.0,93.0,100.0,100.0,www.coverio.ch,Pass,,0,0,0
31,Local Medical Capacity Building (MCB) - NGO Mercy Ships ...,https://mercyships.ch/en/what-we-do/development-aid/,61.0,95.0,79.0,100.0,mercyships.ch,Pass,,0,0,0
